Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Lamoille newsdealer.'],07-27-1870,1,['sn84023428'],['hyde park'],['vermont'],['University of Vermont'],['vtu_jay_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_jay_ver01/data/sn84023428/00202197437/1870072701/0755.pdf
['The Rutland daily globe.'],05-22-1873,1,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873052201/0075.pdf
['National opinion.'],03-18-1870,2,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/0020219722A/1870031801/0677.pdf
['Spirit of the age.'],01-01-1874,2,['sn84023296'],['woodstock'],['vermont'],['University of Vermont'],['vtu_killington_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_killington_ver02/data/sn84023296/00200296114/1874010101/0197.pdf
['Bellows Falls times.'],08-07-1874,1,['sn84022549'],['bellows falls'],['vermont'],['University of Vermont'],['vtu_melon_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_melon_ver01/data/sn84022549/00415628481/1874080701/0556.pdf
['The Rutland daily globe.'],01-06-1874,4,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874010601/0021.pdf
['Essex County herald.'],06-27-1874,1,['sn84023416'],"['island pond', 'guildhall']",['vermont'],['University of Vermont'],['vtu_ira_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ira_ver01/data/sn84023416/00202197498/1874062701/0307.pdf
['The Manchester journal.'],05-22-1873,2,['sn83025668'],"['manchester', 'bennington']",['vermont'],['University of Vermont'],['vtu_iceberg_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_iceberg_ver01/data/sn83025668/00415629229/1873052201/1066.pdf
['Essex County herald.'],02-07-1874,1,['sn84023416'],"['island pond', 'guildhall']",['vermont'],['University of Vermont'],['vtu_ira_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ira_ver01/data/sn84023416/00202197498/1874020701/0229.pdf
['Orleans County monitor.'],09-29-1873,2,['sn84022871'],['barton'],['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022871/00202194977/1873092901/0375.pdf
['The Rutland daily globe.'],07-23-1873,2,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873072301/0284.pdf
['Orleans County monitor.'],11-17-1873,2,['sn84022871'],['barton'],['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022871/00202194977/1873111701/0403.pdf
['The Rutland daily globe.'],05-20-1874,2,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874052001/0472.pdf
['National opinion.'],09-01-1871,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1871090101/0137.pdf
['National opinion.'],09-02-1870,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/0020219722A/1870090201/0760.pdf
['Vermont farmer.'],11-15-1872,1,['sn84023255'],"['newport', 'saint johnsbury']",['vermont'],['University of Vermont'],['vtu_adamant_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_adamant_ver01/data/sn84023255/00280776968/1872111501/0043.pdf
['The Rutland daily globe.'],05-02-1873,2,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873050201/0008.pdf
